LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
JAYME-LAN.037;22709;VIGAS;2;01;10mm;22,68;4;900;900;BF2D@HjJAYME-LAN.037@r02@i2@p484773@l9000@n32@e181.44@d10.0@gCA50@s40.00@v@Gl9000@w0@C89@
JAYME-LAN.037;22709;VIGAS;3;02;5mm;10,56;60;110;106;BF2D@HjJAYME-LAN.037@r02@i3@p484774@l1100@n480@e84.48@d5.0@gCA60@s20.00@v@Gl50@w-120@l350@w-90@l150@w-90@l350@w-90@l150@w-120@l50@w0@C80@
JAYME-LAN.037;22709;ESTEIRAS;1;01;8mm;5,04;14;90;86;BF2D@HjJAYME-LAN.037@r02@i1@p484771@l900@n140@e50.4@d8.0@gCA50@s32.00@v@Gl100@w-90@l700@w-90@l100@w0@C75@
