LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V12;103;01;10mm;4,16;2;330;325;BF2D@HjLIVING-MA.117@r01@i103@p479025@l3300@n2@e4.158@d10.0@gCA50@s40.00@v@Gl280@w-90@l2740@w-90@l280@w0@C85@
LIVING-MA.117;21869;V12;104;02;12,5mm;6,94;2;354;348;BF2D@HjLIVING-MA.117@r01@i104@p479026@l3540@n2@e6.938@d12.5@gCA50@s50.00@v@Gl400@w-90@l2740@w-90@l400@w0@C73@
LIVING-MA.117;21869;V12;105;03;6,3mm;4,22;13;130;125;BF2D@HjLIVING-MA.117@r01@i105@p479027@l1300@n13@e4.225@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C69@
LIVING-MA.117;21869;V13;106;01;20mm;26,75;2;535;525;BF2D@HjLIVING-MA.117@r01@i106@p479029@l5350@n2@e26.75@d20.0@gCA50@s300.00@v@Gl430@w-90@l4290@w-90@l630@w0@C87@
LIVING-MA.117;21869;V13;107;02;20mm;6,40;1;256;251;BF2D@HjLIVING-MA.117@r01@i107@p479030@l2560@n1@e6.4@d20.0@gCA50@s300.00@v@Gl630@w-90@l1930@w0@C91@
LIVING-MA.117;21869;V13;108;03;12,5mm;14,58;4;372;369;BF2D@HjLIVING-MA.117@r01@i108@p479031@l3720@n4@e14.582@d12.5@gCA50@s50.00@v@Gl390@w-90@l3330@w0@C70@
LIVING-MA.117;21869;V13;109;04;12,5mm;6,47;2;330;330;BF2D@HjLIVING-MA.117@r01@i109@p479032@l3300@n2@e6.468@d12.5@gCA50@s50.00@v@Gl3300@w0@C80@
LIVING-MA.117;21869;V13;110;05;12,5mm;11,33;4;289;280;BF2D@HjLIVING-MA.117@r01@i110@p479033@l2890@n4@e11.329@d12.5@gCA50@s50.00@v@Gl1740@w90@l400@w90@l600@w90@l150@w0@C86@
LIVING-MA.117;21869;V13;111;06;12,5mm;4,27;2;218;212;BF2D@HjLIVING-MA.117@r01@i111@p479034@l2180@n2@e4.273@d12.5@gCA50@s50.00@v@Gl200@w90@l550@w90@l1430@w0@C82@
LIVING-MA.117;21869;V13;112;07;6,3mm;4,22;13;130;125;BF2D@HjLIVING-MA.117@r01@i112@p479035@l1300@n13@e4.225@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C72@
LIVING-MA.117;21869;V13;113;08;6,3mm;3,40;8;170;165;BF2D@HjLIVING-MA.117@r01@i113@p479036@l1700@n8@e3.4@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l60@w0@C80@
LIVING-MA.117;21869;V13;114;09;5mm;3,20;10;200;198;BF2D@HjLIVING-MA.117@r01@i114@p479037@l2000@n10@e3.2@d5.0@gCA60@s20.00@v@Gl130@w-90@l1740@w-90@l130@w0@C76@
LIVING-MA.117;21869;V15;132;01;8mm;2,76;2;345;345;BF2D@HjLIVING-MA.117@r01@i132@p479057@l3450@n2@e2.76@d8.0@gCA50@s32.00@v@Gl3450@w0@C74@
LIVING-MA.117;21869;V15;133;02;16mm;27,39;8;214;210;BF2D@HjLIVING-MA.117@r01@i133@p479058@l2140@n8@e27.392@d16.0@gCA50@s240.00@v@Gl400@w-90@l1740@w0@C82@
LIVING-MA.117;21869;V15;134;03;12,5mm;41,92;6;713;707;BF2D@HjLIVING-MA.117@r01@i134@p479059@l7130@n6@e41.924@d12.5@gCA50@s50.00@v@Gl380@w-90@l6370@w-90@l380@w0@C66@
LIVING-MA.117;21869;V15;135;04;8mm;19,34;31;156;149;BF2D@HjLIVING-MA.117@r01@i135@p479060@l1560@n31@e19.344@d8.0@gCA50@s32.00@v@Gl80@w-120@l450@w-90@l250@w-90@l450@w-90@l250@w-120@l80@w0@C96@
LIVING-MA.117;21869;V08;53;01;8mm;6,24;4;390;390;BF2D@HjLIVING-MA.117@r01@i53@p478971@l3900@n4@e6.24@d8.0@gCA50@s32.00@v@Gl3900@w0@C85@
LIVING-MA.117;21869;V08;54;02;20mm;35,30;2;706;701;BF2D@HjLIVING-MA.117@r01@i54@p478972@l7060@n2@e35.3@d20.0@gCA50@s300.00@v@Gl600@w-90@l6460@w0@C74@
LIVING-MA.117;21869;V08;55;03;20mm;32,50;4;325;325;BF2D@HjLIVING-MA.117@r01@i55@p478973@l3250@n4@e32.5@d20.0@gCA50@s300.00@v@Gl3250@w0@C95@
LIVING-MA.117;21869;V08;56;04;20mm;43,13;3;575;575;BF2D@HjLIVING-MA.117@r01@i56@p478974@l5750@n3@e43.125@d20.0@gCA50@s300.00@v@Gl5750@w0@C75@
LIVING-MA.117;21869;V08;57;05;20mm;20,75;2;415;415;BF2D@HjLIVING-MA.117@r01@i57@p478975@l4150@n2@e20.75@d20.0@gCA50@s300.00@v@Gl4150@w0@C73@
LIVING-MA.117;21869;V08;58;06;20mm;16,75;2;335;335;BF2D@HjLIVING-MA.117@r01@i58@p478976@l3350@n2@e16.75@d20.0@gCA50@s300.00@v@Gl3350@w0@C96@
LIVING-MA.117;21869;V08;59;07;20mm;32,25;2;645;645;BF2D@HjLIVING-MA.117@r01@i59@p478977@l6450@n2@e32.25@d20.0@gCA50@s300.00@v@Gl6450@w0@C93@
LIVING-MA.117;21869;V08;60;08;16mm;7,55;2;236;232;BF2D@HjLIVING-MA.117@r01@i60@p478978@l2360@n2@e7.552@d16.0@gCA50@s240.00@v@Gl510@w-90@l1850@w0@C75@
LIVING-MA.117;21869;V08;61;09;12,5mm;19,60;4;500;497;BF2D@HjLIVING-MA.117@r01@i61@p478979@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C77@
LIVING-MA.117;21869;V08;62;10;12,5mm;2,50;1;255;255;BF2D@HjLIVING-MA.117@r01@i62@p478980@l2550@n1@e2.499@d12.5@gCA50@s50.00@v@Gl2550@w0@C76@
LIVING-MA.117;21869;V08;63;11;20mm;113,13;5;905;905;BF2D@HjLIVING-MA.117@r01@i63@p478981@l9050@n5@e113.125@d20.0@gCA50@s300.00@v@Gl9050@w0@C69@
LIVING-MA.117;21869;V08;64;12;20mm;21,25;2;425;425;BF2D@HjLIVING-MA.117@r01@i64@p478982@l4250@n2@e21.25@d20.0@gCA50@s300.00@v@Gl4250@w0@C79@
LIVING-MA.117;21869;V08;65;13;20mm;24,00;2;480;480;BF2D@HjLIVING-MA.117@r01@i65@p478983@l4800@n2@e24@d20.0@gCA50@s300.00@v@Gl4800@w0@C93@
LIVING-MA.117;21869;V08;66;14;12,5mm;2,11;1;215;215;BF2D@HjLIVING-MA.117@r01@i66@p478984@l2150@n1@e2.107@d12.5@gCA50@s50.00@v@Gl2150@w0@C90@
LIVING-MA.117;21869;V08;67;15;8mm;95,23;128;186;179;BF2D@HjLIVING-MA.117@r01@i67@p478985@l1860@n128@e95.232@d8.0@gCA50@s32.00@v@Gl80@w-120@l200@w-90@l650@w-90@l200@w-90@l650@w-120@l80@w0@C73@
LIVING-MA.117;21869;V08;68;16;8mm;27,97;16;437;437;BF2D@HjLIVING-MA.117@r01@i68@p478986@l4370@n16@e27.968@d8.0@gCA50@s32.00@v@Gl4370@w0@C94@
LIVING-MA.117;21869;V08;69;17;8mm;54,98;16;859;859;BF2D@HjLIVING-MA.117@r01@i69@p478987@l8590@n16@e54.976@d8.0@gCA50@s32.00@v@Gl8590@w0@C77@
LIVING-MA.117;21869;V09;70;01;8mm;6,24;4;390;390;BF2D@HjLIVING-MA.117@r01@i70@p478989@l3900@n4@e6.24@d8.0@gCA50@s32.00@v@Gl3900@w0@C77@
LIVING-MA.117;21869;V09;71;02;20mm;35,30;2;706;701;BF2D@HjLIVING-MA.117@r01@i71@p478990@l7060@n2@e35.3@d20.0@gCA50@s300.00@v@Gl600@w-90@l6460@w0@C75@
LIVING-MA.117;21869;V09;72;03;20mm;32,50;4;325;325;BF2D@HjLIVING-MA.117@r01@i72@p478991@l3250@n4@e32.5@d20.0@gCA50@s300.00@v@Gl3250@w0@C96@
LIVING-MA.117;21869;V09;73;04;20mm;43,13;3;575;575;BF2D@HjLIVING-MA.117@r01@i73@p478992@l5750@n3@e43.125@d20.0@gCA50@s300.00@v@Gl5750@w0@C76@
LIVING-MA.117;21869;V09;74;05;20mm;20,75;2;415;415;BF2D@HjLIVING-MA.117@r01@i74@p478993@l4150@n2@e20.75@d20.0@gCA50@s300.00@v@Gl4150@w0@C74@
LIVING-MA.117;21869;V09;75;06;20mm;16,75;2;335;335;BF2D@HjLIVING-MA.117@r01@i75@p478994@l3350@n2@e16.75@d20.0@gCA50@s300.00@v@Gl3350@w0@C65@
LIVING-MA.117;21869;V09;76;07;20mm;32,25;2;645;645;BF2D@HjLIVING-MA.117@r01@i76@p478995@l6450@n2@e32.25@d20.0@gCA50@s300.00@v@Gl6450@w0@C94@
LIVING-MA.117;21869;V09;77;08;16mm;7,55;2;236;232;BF2D@HjLIVING-MA.117@r01@i77@p478996@l2360@n2@e7.552@d16.0@gCA50@s240.00@v@Gl510@w-90@l1850@w0@C67@
LIVING-MA.117;21869;V09;78;09;12,5mm;19,60;4;500;497;BF2D@HjLIVING-MA.117@r01@i78@p478997@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C69@
LIVING-MA.117;21869;V09;79;10;12,5mm;2,50;1;255;255;BF2D@HjLIVING-MA.117@r01@i79@p478998@l2550@n1@e2.499@d12.5@gCA50@s50.00@v@Gl2550@w0@C91@
LIVING-MA.117;21869;V09;80;11;20mm;113,13;5;905;905;BF2D@HjLIVING-MA.117@r01@i80@p478999@l9050@n5@e113.125@d20.0@gCA50@s300.00@v@Gl9050@w0@C93@
LIVING-MA.117;21869;V09;81;12;20mm;21,25;2;425;425;BF2D@HjLIVING-MA.117@r01@i81@p479000@l4250@n2@e21.25@d20.0@gCA50@s300.00@v@Gl4250@w0@C66@
LIVING-MA.117;21869;V09;82;13;20mm;24,00;2;480;480;BF2D@HjLIVING-MA.117@r01@i82@p479001@l4800@n2@e24@d20.0@gCA50@s300.00@v@Gl4800@w0@C80@
LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V09;83;14;12,5mm;2,11;1;215;215;BF2D@HjLIVING-MA.117@r01@i83@p479002@l2150@n1@e2.107@d12.5@gCA50@s50.00@v@Gl2150@w0@C77@
LIVING-MA.117;21869;V09;84;15;8mm;95,23;128;186;179;BF2D@HjLIVING-MA.117@r01@i84@p479003@l1860@n128@e95.232@d8.0@gCA50@s32.00@v@Gl80@w-120@l200@w-90@l650@w-90@l200@w-90@l650@w-120@l80@w0@C92@
LIVING-MA.117;21869;V09;85;16;8mm;27,97;16;437;437;BF2D@HjLIVING-MA.117@r01@i85@p479004@l4370@n16@e27.968@d8.0@gCA50@s32.00@v@Gl4370@w0@C81@
LIVING-MA.117;21869;V09;86;17;8mm;54,98;16;859;859;BF2D@HjLIVING-MA.117@r01@i86@p479005@l8590@n16@e54.976@d8.0@gCA50@s32.00@v@Gl8590@w0@C96@
LIVING-MA.117;21869;V10;87;01;25mm;152,10;6;650;650;BF2D@HjLIVING-MA.117@r01@i87@p479007@l6500@n6@e152.1@d25.0@gCA50@s375.00@v@Gl6500@w0@C65@
LIVING-MA.117;21869;V10;88;02;12,5mm;10,31;4;263;260;BF2D@HjLIVING-MA.117@r01@i88@p479008@l2630@n4@e10.31@d12.5@gCA50@s50.00@v@Gl380@w-90@l2250@w0@C76@
LIVING-MA.117;21869;V10;89;03;12,5mm;26,73;4;682;679;BF2D@HjLIVING-MA.117@r01@i89@p479009@l6820@n4@e26.734@d12.5@gCA50@s50.00@v@Gl380@w-90@l6440@w0@C95@
LIVING-MA.117;21869;V10;90;04;25mm;274,64;7;1006;999;BF2D@HjLIVING-MA.117@r01@i90@p479010@l10060@n7@e274.638@d25.0@gCA50@s375.00@v@Gl860@w-90@l9200@w0@C84@
LIVING-MA.117;21869;V10;91;05;25mm;129,32;4;829;829;BF2D@HjLIVING-MA.117@r01@i91@p479011@l8290@n4@e129.324@d25.0@gCA50@s375.00@v@Gl8290@w0@C81@
LIVING-MA.117;21869;V10;92;06;25mm;99,68;4;639;639;BF2D@HjLIVING-MA.117@r01@i92@p479012@l6390@n4@e99.684@d25.0@gCA50@s375.00@v@Gl6390@w0@C82@
LIVING-MA.117;21869;V10;93;07;12,5mm;19,99;4;510;507;BF2D@HjLIVING-MA.117@r01@i93@p479013@l5100@n4@e19.992@d12.5@gCA50@s50.00@v@Gl550@w-90@l4550@w0@C76@
LIVING-MA.117;21869;V10;94;08;10mm;12,60;20;100;95;BF2D@HjLIVING-MA.117@r01@i94@p479014@l1000@n20@e12.6@d10.0@gCA50@s40.00@v@Gl470@w-90@l60@w-90@l470@w0@C81@
LIVING-MA.117;21869;V10;95;09;8mm;263,38;186;354;347;BF2D@HjLIVING-MA.117@r01@i95@p479015@l3540@n186@e263.376@d8.0@gCA50@s32.00@v@Gl80@w-120@l1550@w-90@l140@w-90@l1550@w-90@l140@w-120@l80@w0@C90@
LIVING-MA.117;21869;V10;96;10;8mm;47,99;14;857;857;BF2D@HjLIVING-MA.117@r01@i96@p479016@l8570@n14@e47.992@d8.0@gCA50@s32.00@v@Gl8570@w0@C67@
LIVING-MA.117;21869;V10;97;11;8mm;24,47;14;437;437;BF2D@HjLIVING-MA.117@r01@i97@p479017@l4370@n14@e24.472@d8.0@gCA50@s32.00@v@Gl4370@w0@C89@
LIVING-MA.117;21869;V16;136;01;6,3mm;2,48;2;495;495;BF2D@HjLIVING-MA.117@r01@i136@p479062@l4950@n2@e2.475@d6.3@gCA50@s25.00@v@Gl4950@w0@C72@
LIVING-MA.117;21869;V16;137;02;16mm;7,62;2;238;234;BF2D@HjLIVING-MA.117@r01@i137@p479063@l2380@n2@e7.616@d16.0@gCA50@s240.00@v@Gl510@w-90@l1870@w0@C95@
LIVING-MA.117;21869;V16;138;03;20mm;32,35;2;647;647;BF2D@HjLIVING-MA.117@r01@i138@p479064@l6470@n2@e32.35@d20.0@gCA50@s300.00@v@Gl6470@w0@C86@
LIVING-MA.117;21869;V16;139;04;20mm;17,00;2;340;340;BF2D@HjLIVING-MA.117@r01@i139@p479065@l3400@n2@e17@d20.0@gCA50@s300.00@v@Gl3400@w0@C91@
LIVING-MA.117;21869;V16;140;05;16mm;7,55;2;236;232;BF2D@HjLIVING-MA.117@r01@i140@p479066@l2360@n2@e7.552@d16.0@gCA50@s240.00@v@Gl510@w-90@l1850@w0@C71@
LIVING-MA.117;21869;V16;141;06;16mm;73,68;5;921;917;BF2D@HjLIVING-MA.117@r01@i141@p479067@l9210@n5@e73.68@d16.0@gCA50@s240.00@v@Gl540@w-90@l8670@w0@C82@
LIVING-MA.117;21869;V16;142;07;16mm;13,84;1;865;865;BF2D@HjLIVING-MA.117@r01@i142@p479068@l8650@n1@e13.84@d16.0@gCA50@s240.00@v@Gl8650@w0@C73@
LIVING-MA.117;21869;V16;143;08;16mm;19,44;3;405;405;BF2D@HjLIVING-MA.117@r01@i143@p479069@l4050@n3@e19.44@d16.0@gCA50@s240.00@v@Gl4050@w0@C87@
LIVING-MA.117;21869;V16;144;09;12,5mm;9,80;2;500;497;BF2D@HjLIVING-MA.117@r01@i144@p479070@l5000@n2@e9.8@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C93@
LIVING-MA.117;21869;V16;145;10;12,5mm;2,11;1;215;215;BF2D@HjLIVING-MA.117@r01@i145@p479071@l2150@n1@e2.107@d12.5@gCA50@s50.00@v@Gl2150@w0@C88@
LIVING-MA.117;21869;V16;146;11;6,3mm;34,58;76;182;177;BF2D@HjLIVING-MA.117@r01@i146@p479072@l1820@n76@e34.58@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l200@w-90@l650@w-90@l200@w-120@l60@w0@C75@
LIVING-MA.117;21869;V16;147;12;8mm;27,42;8;857;857;BF2D@HjLIVING-MA.117@r01@i147@p479073@l8570@n8@e27.424@d8.0@gCA50@s32.00@v@Gl8570@w0@C76@
LIVING-MA.117;21869;V16;148;13;8mm;13,98;8;437;437;BF2D@HjLIVING-MA.117@r01@i148@p479074@l4370@n8@e13.984@d8.0@gCA50@s32.00@v@Gl4370@w0@C80@
LIVING-MA.117;21869;V17;149;01;6,3mm;2,48;2;495;495;BF2D@HjLIVING-MA.117@r01@i149@p479076@l4950@n2@e2.475@d6.3@gCA50@s25.00@v@Gl4950@w0@C95@
LIVING-MA.117;21869;V17;150;02;16mm;7,62;2;238;234;BF2D@HjLIVING-MA.117@r01@i150@p479077@l2380@n2@e7.616@d16.0@gCA50@s240.00@v@Gl510@w-90@l1870@w0@C95@
LIVING-MA.117;21869;V17;151;03;20mm;32,35;2;647;647;BF2D@HjLIVING-MA.117@r01@i151@p479078@l6470@n2@e32.35@d20.0@gCA50@s300.00@v@Gl6470@w0@C86@
LIVING-MA.117;21869;V17;152;04;20mm;17,00;2;340;340;BF2D@HjLIVING-MA.117@r01@i152@p479079@l3400@n2@e17@d20.0@gCA50@s300.00@v@Gl3400@w0@C91@
LIVING-MA.117;21869;V17;153;05;16mm;7,55;2;236;232;BF2D@HjLIVING-MA.117@r01@i153@p479080@l2360@n2@e7.552@d16.0@gCA50@s240.00@v@Gl510@w-90@l1850@w0@C71@
LIVING-MA.117;21869;V17;154;06;16mm;73,68;5;921;917;BF2D@HjLIVING-MA.117@r01@i154@p479081@l9210@n5@e73.68@d16.0@gCA50@s240.00@v@Gl540@w-90@l8670@w0@C82@
LIVING-MA.117;21869;V17;155;07;16mm;13,84;1;865;865;BF2D@HjLIVING-MA.117@r01@i155@p479082@l8650@n1@e13.84@d16.0@gCA50@s240.00@v@Gl8650@w0@C73@
LIVING-MA.117;21869;V17;156;08;16mm;19,44;3;405;405;BF2D@HjLIVING-MA.117@r01@i156@p479083@l4050@n3@e19.44@d16.0@gCA50@s240.00@v@Gl4050@w0@C87@
LIVING-MA.117;21869;V17;157;09;12,5mm;9,80;2;500;497;BF2D@HjLIVING-MA.117@r01@i157@p479084@l5000@n2@e9.8@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C84@
LIVING-MA.117;21869;V17;158;10;12,5mm;2,11;1;215;215;BF2D@HjLIVING-MA.117@r01@i158@p479085@l2150@n1@e2.107@d12.5@gCA50@s50.00@v@Gl2150@w0@C79@
LIVING-MA.117;21869;V17;159;11;6,3mm;34,58;76;182;177;BF2D@HjLIVING-MA.117@r01@i159@p479086@l1820@n76@e34.58@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l200@w-90@l650@w-90@l200@w-120@l60@w0@C66@
LIVING-MA.117;21869;V17;160;12;8mm;27,42;8;857;857;BF2D@HjLIVING-MA.117@r01@i160@p479087@l8570@n8@e27.424@d8.0@gCA50@s32.00@v@Gl8570@w0@C76@
LIVING-MA.117;21869;V17;161;13;8mm;13,98;8;437;437;BF2D@HjLIVING-MA.117@r01@i161@p479088@l4370@n8@e13.984@d8.0@gCA50@s32.00@v@Gl4370@w0@C80@
LIVING-MA.117;21869;V18;162;01;12,5mm;9,03;3;307;304;BF2D@HjLIVING-MA.117@r01@i162@p479090@l3070@n3@e9.026@d12.5@gCA50@s50.00@v@Gl380@w-90@l2690@w0@C80@
LIVING-MA.117;21869;V18;163;02;16mm;13,63;2;426;422;BF2D@HjLIVING-MA.117@r01@i163@p479091@l4260@n2@e13.632@d16.0@gCA50@s240.00@v@Gl580@w-90@l3680@w0@C77@
LIVING-MA.117;21869;V18;164;03;12,5mm;4,41;2;225;219;BF2D@HjLIVING-MA.117@r01@i164@p479092@l2250@n2@e4.41@d12.5@gCA50@s50.00@v@Gl330@w-90@l1470@w-90@l450@w0@C94@
LIVING-MA.117;21869;V18;165;04;12,5mm;10,00;2;510;507;BF2D@HjLIVING-MA.117@r01@i165@p479093@l5100@n2@e9.996@d12.5@gCA50@s50.00@v@Gl390@w-90@l4710@w0@C67@
LIVING-MA.117;21869;V18;166;05;12,5mm;3,09;1;315;315;BF2D@HjLIVING-MA.117@r01@i166@p479094@l3150@n1@e3.087@d12.5@gCA50@s50.00@v@Gl3150@w0@C70@
LIVING-MA.117;21869;V18;167;06;6,3mm;6,83;21;130;125;BF2D@HjLIVING-MA.117@r01@i167@p479095@l1300@n21@e6.825@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C81@
LIVING-MA.117;21869;V18;168;07;6,3mm;2,98;7;170;165;BF2D@HjLIVING-MA.117@r01@i168@p479096@l1700@n7@e2.975@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l60@w0@C81@
LIVING-MA.117;21869;V18;169;08;8mm;3,96;6;165;163;BF2D@HjLIVING-MA.117@r01@i169@p479097@l1650@n6@e3.96@d8.0@gCA50@s32.00@v@Gl130@w-90@l1520@w0@C76@
LIVING-MA.117;21869;V19;170;01;8mm;2,92;2;365;365;BF2D@HjLIVING-MA.117@r01@i170@p479099@l3650@n2@e2.92@d8.0@gCA50@s32.00@v@Gl3650@w0@C96@
LIVING-MA.117;21869;V19;171;02;12,5mm;3,92;2;200;197;BF2D@HjLIVING-MA.117@r01@i171@p479100@l2000@n2@e3.92@d12.5@gCA50@s50.00@v@Gl450@w-90@l1550@w0@C92@
LIVING-MA.117;21869;V19;172;03;16mm;10,22;3;213;209;BF2D@HjLIVING-MA.117@r01@i172@p479101@l2130@n3@e10.224@d16.0@gCA50@s240.00@v@Gl400@w-90@l1730@w0@C79@
LIVING-MA.117;21869;V19;173;04;12,5mm;42,04;6;715;709;BF2D@HjLIVING-MA.117@r01@i173@p479102@l7150@n6@e42.042@d12.5@gCA50@s50.00@v@Gl380@w-90@l6390@w-90@l380@w0@C78@
LIVING-MA.117;21869;V19;174;05;8mm;18,72;30;156;149;BF2D@HjLIVING-MA.117@r01@i174@p479103@l1560@n30@e18.72@d8.0@gCA50@s32.00@v@Gl80@w-120@l450@w-90@l250@w-90@l450@w-90@l250@w-120@l80@w0@C83@
LIVING-MA.117;21869;V20;175;01;8mm;2,04;2;255;255;BF2D@HjLIVING-MA.117@r01@i175@p479105@l2550@n2@e2.04@d8.0@gCA50@s32.00@v@Gl2550@w0@C82@
LIVING-MA.117;21869;V20;176;02;12,5mm;6,56;3;223;220;BF2D@HjLIVING-MA.117@r01@i176@p479106@l2230@n3@e6.556@d12.5@gCA50@s50.00@v@Gl380@w-90@l1850@w0@C78@
LIVING-MA.117;21869;V20;177;03;12,5mm;3,63;2;185;185;BF2D@HjLIVING-MA.117@r01@i177@p479107@l1850@n2@e3.626@d12.5@gCA50@s50.00@v@Gl1850@w0@C95@
LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V20;178;04;12,5mm;5,29;4;135;123;BF2D@HjLIVING-MA.117@r01@i178@p479108@l1350@n4@e5.292@d12.5@gCA50@s50.00@v@Gl120@w90@l490@w-90@l120@w-90@l490@w90@l130@w0@C79@
LIVING-MA.117;21869;V20;179;05;16mm;20,32;2;635;627;BF2D@HjLIVING-MA.117@r01@i179@p479109@l6350@n2@e20.32@d16.0@gCA50@s240.00@v@Gl360@w-90@l5630@w-90@l360@w0@C81@
LIVING-MA.117;21869;V20;180;06;16mm;14,72;2;460;460;BF2D@HjLIVING-MA.117@r01@i180@p479110@l4600@n2@e14.72@d16.0@gCA50@s240.00@v@Gl4600@w0@C70@
LIVING-MA.117;21869;V20;181;07;8mm;18,76;35;134;127;BF2D@HjLIVING-MA.117@r01@i181@p479111@l1340@n35@e18.76@d8.0@gCA50@s32.00@v@Gl80@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l80@w0@C85@
LIVING-MA.117;21869;V21;182;01;10mm;2,52;2;200;195;BF2D@HjLIVING-MA.117@r01@i182@p479113@l2000@n2@e2.52@d10.0@gCA50@s40.00@v@Gl270@w-90@l1460@w-90@l270@w0@C81@
LIVING-MA.117;21869;V21;183;02;12,5mm;4,63;2;236;230;BF2D@HjLIVING-MA.117@r01@i183@p479114@l2360@n2@e4.626@d12.5@gCA50@s50.00@v@Gl450@w-90@l1460@w-90@l450@w0@C69@
LIVING-MA.117;21869;V21;184;03;6,3mm;2,10;6;140;135;BF2D@HjLIVING-MA.117@r01@i184@p479115@l1400@n6@e2.1@d6.3@gCA50@s25.00@v@Gl60@w-120@l500@w-90@l140@w-90@l500@w-90@l140@w-120@l60@w0@C95@
LIVING-MA.117;21869;V23;193;01;20mm;72,75;6;485;485;BF2D@HjLIVING-MA.117@r01@i193@p479126@l4850@n6@e72.75@d20.0@gCA50@s300.00@v@Gl4850@w0@C74@
LIVING-MA.117;21869;V23;194;02;12,5mm;9,49;4;242;239;BF2D@HjLIVING-MA.117@r01@i194@p479127@l2420@n4@e9.486@d12.5@gCA50@s50.00@v@Gl350@w-90@l2070@w0@C76@
LIVING-MA.117;21869;V23;195;03;20mm;67,13;3;895;895;BF2D@HjLIVING-MA.117@r01@i195@p479128@l8950@n3@e67.125@d20.0@gCA50@s300.00@v@Gl8950@w0@C79@
LIVING-MA.117;21869;V23;196;04;20mm;27,25;2;545;545;BF2D@HjLIVING-MA.117@r01@i196@p479129@l5450@n2@e27.25@d20.0@gCA50@s300.00@v@Gl5450@w0@C83@
LIVING-MA.117;21869;V23;197;05;12,5mm;27,09;4;691;688;BF2D@HjLIVING-MA.117@r01@i197@p479130@l6910@n4@e27.087@d12.5@gCA50@s50.00@v@Gl380@w-90@l6530@w0@C82@
LIVING-MA.117;21869;V23;198;06;25mm;117,35;3;1003;996;BF2D@HjLIVING-MA.117@r01@i198@p479131@l10030@n3@e117.351@d25.0@gCA50@s375.00@v@Gl860@w-90@l9170@w0@C68@
LIVING-MA.117;21869;V23;199;07;25mm;250,34;7;917;917;BF2D@HjLIVING-MA.117@r01@i199@p479132@l9170@n7@e250.341@d25.0@gCA50@s375.00@v@Gl9170@w0@C91@
LIVING-MA.117;21869;V23;200;08;25mm;64,23;3;549;549;BF2D@HjLIVING-MA.117@r01@i200@p479133@l5490@n3@e64.233@d25.0@gCA50@s375.00@v@Gl5490@w0@C90@
LIVING-MA.117;21869;V23;201;09;12,5mm;9,11;2;465;465;BF2D@HjLIVING-MA.117@r01@i201@p479134@l4650@n2@e9.114@d12.5@gCA50@s50.00@v@Gl4650@w0@C75@
LIVING-MA.117;21869;V23;202;10;12,5mm;5,19;2;265;265;BF2D@HjLIVING-MA.117@r01@i202@p479135@l2650@n2@e5.194@d12.5@gCA50@s50.00@v@Gl2650@w0@C73@
LIVING-MA.117;21869;V23;203;11;12,5mm;19,99;4;510;507;BF2D@HjLIVING-MA.117@r01@i203@p479136@l5100@n4@e19.992@d12.5@gCA50@s50.00@v@Gl550@w-90@l4550@w0@C93@
LIVING-MA.117;21869;V23;204;12;10mm;9,45;15;100;95;BF2D@HjLIVING-MA.117@r01@i204@p479137@l1000@n15@e9.45@d10.0@gCA50@s40.00@v@Gl470@w-90@l60@w-90@l470@w0@C85@
LIVING-MA.117;21869;V23;205;13;8mm;247,80;175;354;347;BF2D@HjLIVING-MA.117@r01@i205@p479138@l3540@n175@e247.8@d8.0@gCA50@s32.00@v@Gl80@w-120@l140@w-90@l1550@w-90@l140@w-90@l1550@w-120@l80@w0@C83@
