LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V38;426;05;20mm;7,50;1;300;300;BF2D@HjLIVING-MA.117@r01@i426@p479374@l3000@n1@e7.5@d20.0@gCA50@s300.00@v@Gl3000@w0@C80@
LIVING-MA.117;21869;V38;427;06;20mm;32,75;2;655;655;BF2D@HjLIVING-MA.117@r01@i427@p479375@l6550@n2@e32.75@d20.0@gCA50@s300.00@v@Gl6550@w0@C78@
LIVING-MA.117;21869;V38;428;07;20mm;10,25;1;410;410;BF2D@HjLIVING-MA.117@r01@i428@p479376@l4100@n1@e10.25@d20.0@gCA50@s300.00@v@Gl4100@w0@C76@
LIVING-MA.117;21869;V38;429;08;16mm;10,43;2;326;322;BF2D@HjLIVING-MA.117@r01@i429@p479377@l3260@n2@e10.432@d16.0@gCA50@s240.00@v@Gl380@w-90@l2880@w0@C72@
LIVING-MA.117;21869;V38;430;09;12,5mm;12,54;2;640;637;BF2D@HjLIVING-MA.117@r01@i430@p479378@l6400@n2@e12.544@d12.5@gCA50@s50.00@v@Gl550@w-90@l5850@w0@C91@
LIVING-MA.117;21869;V38;431;10;12,5mm;9,80;2;500;497;BF2D@HjLIVING-MA.117@r01@i431@p479379@l5000@n2@e9.8@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C82@
LIVING-MA.117;21869;V38;432;11;12,5mm;14,21;2;725;725;BF2D@HjLIVING-MA.117@r01@i432@p479380@l7250@n2@e14.21@d12.5@gCA50@s50.00@v@Gl7250@w0@C75@
LIVING-MA.117;21869;V38;433;12;12,5mm;9,80;2;500;500;BF2D@HjLIVING-MA.117@r01@i433@p479381@l5000@n2@e9.8@d12.5@gCA50@s50.00@v@Gl5000@w0@C82@
LIVING-MA.117;21869;V38;434;13;12,5mm;10,19;2;520;520;BF2D@HjLIVING-MA.117@r01@i434@p479382@l5200@n2@e10.192@d12.5@gCA50@s50.00@v@Gl5200@w0@C96@
LIVING-MA.117;21869;V38;435;14;12,5mm;4,31;1;440;440;BF2D@HjLIVING-MA.117@r01@i435@p479383@l4400@n1@e4.312@d12.5@gCA50@s50.00@v@Gl4400@w0@C80@
LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V38;436;15;6,3mm;34,85;82;170;165;BF2D@HjLIVING-MA.117@r01@i436@p479384@l1700@n82@e34.85@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l60@w0@C67@
LIVING-MA.117;21869;V38;437;16;8mm;14,28;6;595;593;BF2D@HjLIVING-MA.117@r01@i437@p479385@l5950@n6@e14.28@d8.0@gCA50@s32.00@v@Gl130@w-90@l5820@w0@C83@
LIVING-MA.117;21869;V38;438;17;8mm;17,78;6;741;741;BF2D@HjLIVING-MA.117@r01@i438@p479386@l7410@n6@e17.784@d8.0@gCA50@s32.00@v@Gl7410@w0@C76@
LIVING-MA.117;21869;V38;439;18;8mm;11,93;6;497;497;BF2D@HjLIVING-MA.117@r01@i439@p479387@l4970@n6@e11.928@d8.0@gCA50@s32.00@v@Gl4970@w0@C96@
LIVING-MA.117;21869;VE01;467;01;12,5mm;26,64;6;453;450;BF2D@HjLIVING-MA.117@r01@i467@p479419@l4530@n6@e26.636@d12.5@gCA50@s50.00@v@Gl400@w-90@l4130@w0@C88@
LIVING-MA.117;21869;VE01;468;02;6,3mm;5,85;18;130;125;BF2D@HjLIVING-MA.117@r01@i468@p479420@l1300@n18@e5.85@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C66@
LIVING-MA.117;21869;EP301;1;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i1@p478906@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C76@
LIVING-MA.117;21869;EP302;2;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i2@p478908@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C73@
LIVING-MA.117;21869;EP303;3;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i3@p478910@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C79@
LIVING-MA.117;21869;EP304;4;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i4@p478912@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C76@
LIVING-MA.117;21869;EP305;5;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i5@p478914@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C73@
LIVING-MA.117;21869;EP306;6;01;20mm;24,00;8;120;120;BF2D@HjLIVING-MA.117@r01@i6@p478916@l1200@n8@e24@d20.0@gCA50@s300.00@v@Gl600@w0@l600@w0@C70@
