LOCALIZADOR;PLAN.;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
ALT-ENGEN.040;23044;VIGAS;5;1;06;10mm;30,24;4;1200;1200;BF2D@HjALT-ENGEN.040@r06@i1@p490741@l12000@n20@e151.2@d10.0@gCA50@s40.00@v@Gl150@w0@l11370@w0@l480@w0@C78@
ALT-ENGEN.040;23044;VIGAS;5;2;07;5mm;13,82;96;90;86;BF2D@HjALT-ENGEN.040@r06@i2@p490742@l900@n480@e69.12@d5.0@gCA60@s20.00@v@Gl70@w-120@l220@w-90@l160@w-90@l220@w-90@l160@w-120@l70@w0@C79@
