LOCALIZADOR;PLAN.;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
BRUNA-SAN.001;22811;BARRAS;1;1;01;5mm;76,80;40;1200;1200;BF2D@HjBRUNA-SAN.001@r01@i1@p485667@l12000@n40@e76.8@d5.0@gCA60@s20.00@v@Gl12000@w0@C79@
BRUNA-SAN.001;22811;BARRAS;1;2;02;10mm;189,00;25;1200;1200;BF2D@HjBRUNA-SAN.001@r01@i2@p485668@l12000@n25@e189@d10.0@gCA50@s40.00@v@Gl12000@w0@C78@
BRUNA-SAN.001;22811;BARRAS;1;3;03;12,5mm;294,00;25;1200;1200;BF2D@HjBRUNA-SAN.001@r01@i3@p485669@l12000@n25@e294@d12.5@gCA50@s50.00@v@Gl12000@w0@C71@
BRUNA-SAN.001;22811;ESTRIBOS;1;4;01;5mm;54,08;200;169;168;BF2D@HjBRUNA-SAN.001@r01@i4@p485671@l1690@n200@e54.08@d5.0@gCA60@s20.00@v@Gl50@w135@l500@wR1@l20@w135@l50@w0@C78@
BRUNA-SAN.001;22811;ESTRIBOS;1;5;02;5mm;33,12;150;138;137;BF2D@HjBRUNA-SAN.001@r01@i5@p485672@l1380@n150@e33.12@d5.0@gCA60@s20.00@v@Gl50@w135@l400@wR1@l20@w135@l50@w0@C85@
