LOCALIZADOR;PLAN.;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
NATANAEL.001;22842;ESTRIBOS;22;1;01;5mm;3,63;28;81;80;BF2D@HjNATANAEL.001@r01@i1@p486887@l810@n616@e79.838@d5.0@gCA60@s20.00@v@Gl50@w135@l220@wR1@l20@w135@l50@w0@C85@
NATANAEL.001;22842;ESTRIBOS;50;2;01;5mm;3,89;30;81;80;BF2D@HjNATANAEL.001@r01@i2@p486889@l810@n1500@e194.4@d5.0@gCA60@s20.00@v@Gl50@w135@l220@wR1@l20@w135@l50@w0@C74@
