LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
ALT-ENGEN.043;23240;2;PILARES;202;1;04;5mm;203,62;15;42;38;BF2D@HjALT-ENGEN.043@r01@i1@p494853@l420@n3030@e203.616@d5.0@gCA60@s20.00@v@Gl50@w-120@l70@w-90@l90@w-90@l70@w-90@l90@w-120@l50@w0@C94@
ALT-ENGEN.043;23240;2;PILARES;202;2;05;10mm;1.018,08;4;200;200;BF2D@HjALT-ENGEN.043@r01@i2@p494854@l2000@n808@e1018.08@d10.0@gCA50@s40.00@v@Gl120@w0@l1880@w0@C77@
ALT-ENGEN.043;23240;3;VIGA BALDRAME;10;3;06;10mm;302,40;4;1200;1200;BF2D@HjALT-ENGEN.043@r01@i3@p494856@l12000@n40@e302.4@d10.0@gCA50@s40.00@v@Gl150@w0@l11370@w0@l480@w0@C65@
ALT-ENGEN.043;23240;3;VIGA BALDRAME;10;4;07;5mm;132,10;96;86;82;BF2D@HjALT-ENGEN.043@r01@i4@p494857@l860@n960@e132.1@d5.0@gCA60@s20.00@v@Gl50@w-120@l220@w-90@l160@w-90@l220@w-90@l160@w-120@l50@w0@C75@
ALT-ENGEN.043;23240;4;VIGA SUPERIOR;50;5;08;8mm;480,00;2;1200;1200;BF2D@HjALT-ENGEN.043@r01@i5@p494859@l12000@n100@e480@d8.0@gCA50@s32.00@v@Gl150@w0@l11400@w0@l450@w0@C91@
ALT-ENGEN.043;23240;4;VIGA SUPERIOR;50;6;09;5mm;141,70;77;23;23;BF2D@HjALT-ENGEN.043@r01@i6@p494860@l230@n3850@e141.7@d5.0@gCA60@s20.00@v@Gl60@w180@l110@w180@l60@w0@C92@
