LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
LIVING-MA.127;22614;9;V08;1;36;15;8mm;94,49;127;186;179;BF2D@HjLIVING-MA.127@r01@i36@p492811@l1860@n127@e94.488@d8.0@gCA50@s32.00@v@Gl80@w-120@l650@w-90@l200@w-90@l650@w-90@l200@w-120@l80@w0@C81@
LIVING-MA.127;22614;9;V08;1;37;16;8mm;27,97;16;437;437;BF2D@HjLIVING-MA.127@r01@i37@p492812@l4370@n16@e27.968@d8.0@gCA50@s32.00@v@Gl4370@w0@C81@
LIVING-MA.127;22614;9;V08;1;38;17;8mm;54,98;16;859;859;BF2D@HjLIVING-MA.127@r01@i38@p492813@l8590@n16@e54.976@d8.0@gCA50@s32.00@v@Gl8590@w0@C96@
LIVING-MA.127;22614;10;V09;1;39;01;8mm;6,48;4;405;405;BF2D@HjLIVING-MA.127@r01@i39@p492815@l4050@n4@e6.48@d8.0@gCA50@s32.00@v@Gl4050@w0@C87@
LIVING-MA.127;22614;10;V09;1;40;02;25mm;54,26;2;695,6;689;BF2D@HjLIVING-MA.127@r01@i40@p492816@l6956@n2@e54.257@d25.0@gCA50@s375.00@v@Gl588@w-90@l6368@w0@C85@
LIVING-MA.127;22614;10;V09;1;41;03;20mm;28,00;2;560;560;BF2D@HjLIVING-MA.127@r01@i41@p492817@l5600@n2@e28@d20.0@gCA50@s300.00@v@Gl5600@w0@C72@
LIVING-MA.127;22614;10;V09;1;42;04;20mm;21,50;2;430;430;BF2D@HjLIVING-MA.127@r01@i42@p492818@l4300@n2@e21.5@d20.0@gCA50@s300.00@v@Gl4300@w0@C82@
LIVING-MA.127;22614;10;V09;1;43;05;20mm;15,50;2;310;310;BF2D@HjLIVING-MA.127@r01@i43@p492819@l3100@n2@e15.5@d20.0@gCA50@s300.00@v@Gl3100@w0@C83@
LIVING-MA.127;22614;10;V09;1;44;06;25mm;49,69;2;637;637;BF2D@HjLIVING-MA.127@r01@i44@p492820@l6370@n2@e49.686@d25.0@gCA50@s375.00@v@Gl6370@w0@C91@
LIVING-MA.127;22614;10;V09;1;45;07;16mm;7,55;2;236;232;BF2D@HjLIVING-MA.127@r01@i45@p492821@l2360@n2@e7.552@d16.0@gCA50@s240.00@v@Gl510@w-90@l1850@w0@C88@
LIVING-MA.127;22614;10;V09;1;46;08;12,5mm;19,60;4;500;497;BF2D@HjLIVING-MA.127@r01@i46@p492822@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C90@
LIVING-MA.127;22614;10;V09;1;47;09;12,5mm;2,50;1;255;255;BF2D@HjLIVING-MA.127@r01@i47@p492823@l2550@n1@e2.499@d12.5@gCA50@s50.00@v@Gl2550@w0@C80@
LIVING-MA.127;22614;10;V09;1;48;10;20mm;90,50;4;905;905;BF2D@HjLIVING-MA.127@r01@i48@p492824@l9050@n4@e90.5@d20.0@gCA50@s300.00@v@Gl9050@w0@C89@
LIVING-MA.127;22614;10;V09;1;49;11;20mm;24,25;2;485;485;BF2D@HjLIVING-MA.127@r01@i49@p492825@l4850@n2@e24.25@d20.0@gCA50@s300.00@v@Gl4850@w0@C68@
LIVING-MA.127;22614;10;V09;1;50;12;20mm;24,00;2;480;480;BF2D@HjLIVING-MA.127@r01@i50@p492826@l4800@n2@e24@d20.0@gCA50@s300.00@v@Gl4800@w0@C74@
LIVING-MA.127;22614;10;V09;1;51;13;12,5mm;2,11;1;215;215;BF2D@HjLIVING-MA.127@r01@i51@p492827@l2150@n1@e2.107@d12.5@gCA50@s50.00@v@Gl2150@w0@C71@
LIVING-MA.127;22614;10;V09;1;52;14;8mm;95,23;128;186;179;BF2D@HjLIVING-MA.127@r01@i52@p492828@l1860@n128@e95.232@d8.0@gCA50@s32.00@v@Gl80@w-120@l650@w-90@l200@w-90@l650@w-90@l200@w-120@l80@w0@C86@
LIVING-MA.127;22614;10;V09;1;53;15;8mm;27,97;16;437;437;BF2D@HjLIVING-MA.127@r01@i53@p492829@l4370@n16@e27.968@d8.0@gCA50@s32.00@v@Gl4370@w0@C75@
LIVING-MA.127;22614;10;V09;1;54;16;8mm;54,98;16;859;859;BF2D@HjLIVING-MA.127@r01@i54@p492830@l8590@n16@e54.976@d8.0@gCA50@s32.00@v@Gl8590@w0@C67@
LIVING-MA.127;22614;13;V15;1;55;01;12,5mm;5,33;2;272;269;BF2D@HjLIVING-MA.127@r01@i55@p492832@l2720@n2@e5.331@d12.5@gCA50@s50.00@v@Gl380@w-90@l2340@w0@C76@
LIVING-MA.127;22614;13;V15;1;56;02;12,5mm;1,88;1;192;189;BF2D@HjLIVING-MA.127@r01@i56@p492833@l1920@n1@e1.882@d12.5@gCA50@s50.00@v@Gl380@w-90@l1540@w0@C66@
LIVING-MA.127;22614;13;V15;1;57;03;16mm;17,76;2;555;555;BF2D@HjLIVING-MA.127@r01@i57@p492834@l5550@n2@e17.76@d16.0@gCA50@s240.00@v@Gl5550@w0@C89@
LIVING-MA.127;22614;13;V15;1;58;04;16mm;8,32;2;260;260;BF2D@HjLIVING-MA.127@r01@i58@p492835@l2600@n2@e8.32@d16.0@gCA50@s240.00@v@Gl2600@w0@C93@
LIVING-MA.127;22614;13;V15;1;59;05;12,5mm;7,74;2;395;395;BF2D@HjLIVING-MA.127@r01@i59@p492836@l3950@n2@e7.742@d12.5@gCA50@s50.00@v@Gl3950@w0@C66@
LIVING-MA.127;22614;13;V15;1;60;06;12,5mm;4,51;2;230;230;BF2D@HjLIVING-MA.127@r01@i60@p492837@l2300@n2@e4.508@d12.5@gCA50@s50.00@v@Gl2300@w0@C68@
LIVING-MA.127;22614;13;V15;1;61;07;20mm;30,75;2;615;615;BF2D@HjLIVING-MA.127@r01@i61@p492838@l6150@n2@e30.75@d20.0@gCA50@s300.00@v@Gl6150@w0@C78@
LIVING-MA.127;22614;13;V15;1;62;08;20mm;7,25;1;290;290;BF2D@HjLIVING-MA.127@r01@i62@p492839@l2900@n1@e7.25@d20.0@gCA50@s300.00@v@Gl2900@w0@C96@
LIVING-MA.127;22614;13;V15;1;63;09;12,5mm;8,04;2;410;410;BF2D@HjLIVING-MA.127@r01@i63@p492840@l4100@n2@e8.036@d12.5@gCA50@s50.00@v@Gl4100@w0@C71@
LIVING-MA.127;22614;13;V15;1;64;10;16mm;18,72;2;585;585;BF2D@HjLIVING-MA.127@r01@i64@p492841@l5850@n2@e18.72@d16.0@gCA50@s240.00@v@Gl5850@w0@C90@
LIVING-MA.127;22614;13;V15;1;65;11;12,5mm;5,49;2;280;277;BF2D@HjLIVING-MA.127@r01@i65@p492842@l2800@n2@e5.488@d12.5@gCA50@s50.00@v@Gl380@w-90@l2420@w0@C95@
LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
LIVING-MA.127;22614;13;V15;1;66;12;12,5mm;1,86;1;190;187;BF2D@HjLIVING-MA.127@r01@i66@p492843@l1900@n1@e1.862@d12.5@gCA50@s50.00@v@Gl380@w-90@l1520@w0@C70@
LIVING-MA.127;22614;13;V15;1;67;13;12,5mm;22,15;2;1130;1127;BF2D@HjLIVING-MA.127@r01@i67@p492844@l11300@n2@e22.148@d12.5@gCA50@s50.00@v@Gl490@w-90@l10810@w0@C84@
LIVING-MA.127;22614;13;V15;1;68;14;12,5mm;22,25;2;1135;1135;BF2D@HjLIVING-MA.127@r01@i68@p492845@l11350@n2@e22.246@d12.5@gCA50@s50.00@v@Gl11350@w0@C68@
LIVING-MA.127;22614;13;V15;1;69;15;12,5mm;22,09;2;1127;1124;BF2D@HjLIVING-MA.127@r01@i69@p492846@l11270@n2@e22.089@d12.5@gCA50@s50.00@v@Gl490@w-90@l10780@w0@C96@
LIVING-MA.127;22614;13;V15;1;70;16;12,5mm;11,56;4;295;295;BF2D@HjLIVING-MA.127@r01@i70@p492847@l2950@n4@e11.564@d12.5@gCA50@s50.00@v@Gl2950@w0@C90@
LIVING-MA.127;22614;13;V15;1;71;17;6,3mm;45,75;122;150;145;BF2D@HjLIVING-MA.127@r01@i71@p492848@l1500@n122@e45.75@d6.3@gCA50@s25.00@v@Gl60@w-120@l550@w-90@l140@w-90@l550@w-90@l140@w-120@l60@w0@C79@
LIVING-MA.127;22614;19;V26;1;80;01;12,5mm;16,82;3;572;569;BF2D@HjLIVING-MA.127@r01@i80@p492859@l5720@n3@e16.817@d12.5@gCA50@s50.00@v@Gl350@w-90@l5370@w0@C67@
LIVING-MA.127;22614;19;V26;1;81;02;12,5mm;7,98;2;407;404;BF2D@HjLIVING-MA.127@r01@i81@p492860@l4070@n2@e7.977@d12.5@gCA50@s50.00@v@Gl350@w-90@l3720@w0@C90@
